goodsNo,리뷰번호,리뷰타입,작성자,리뷰내용,평점,체험단,구매옵션,키,몸무게,성별,작성일,만족도,사진유무,도움돼요,브랜드,카테고리,구매사이즈,구매상세,연도,월,일,요일,평점_raw,만족도_응답여부,사이즈,화면대비색감,퀄리티,구김,두께감,신축성,색감,보온성,퀄리티_점수,보온성_점수,신축성_점수,두께감_점수,구김_점수,사이즈_편차,사이즈_편차절대,화면대비색감_편차,화면대비색감_편차절대,색감_편차,색감_편차절대,리뷰내용_clean,리뷰내용_norm,laugh_count,cry_count,exclamation_count,question_count,emoji_count,has_repetition,text_length_orig,한글_글자수,전체_글자수,is_valid_for_topic
﻿4280525,84278086,style,정겨운라임스키니,"색감,사이즈,마감 처리 다 너무 좋아요 가격대비 퀄리티가 너무 좋아요",5.0,False,LARGE,180.0,80.0,남성,2026-05-12 14:39:25,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 매우 좋음 / 두께감: 적당함,True,0,travel,아우터,LARGE,,2026,5,12,화,5,응답,정사이즈,화면과 비슷,매우 좋음,,적당함,,,,5.0,,,3.0,,0.0,0.0,0.0,0.0,,,"색감,사이즈,마감 처리 다 너무 좋아요 가격대비 퀄리티가 너무 좋아요",색감사이즈마감처리다너무좋아요가격대비퀄리티가너무좋아요,0,0,0,0,0,False,38,28,38,True
﻿2703761,84463778,style,pppfg12,무난하니 좋아요 트래블 나일론바지 검은색도 있어서 세트로 입으면 좋을듯요,5.0,False,LARGE,160.0,53.0,여성,2026-05-15 02:15:11,사이즈: 조금 큼 / 화면 대비 색감: 매우 어두움 / 퀄리티: 좋음 / 두께감: 매우 얇음,True,0,travel,아우터,LARGE,,2026,5,15,금,5,응답,조금 큼,매우 어두움,좋음,,매우 얇음,,,,4.0,,,1.0,,1.0,1.0,-2.0,2.0,,,무난하니 좋아요 트래블 나일론바지 검은색도 있어서 세트로 입으면 좋을듯요,무난하니좋아요트래블나일론바지검은색도있어서세트로입으면좋을듯요,0,0,0,0,0,False,40,32,40,True
2703761,84324690,general,박민수킹,그냥 편하게 입기 좋은데 살짝 편한듯 갑갑함이 조금 있는듯,4.0,False,MEDIUM,179.0,74.0,남성,2026-05-10 10:28:46,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 두께감: 적당함,True,0,travel,아우터,MEDIUM,,2026,5,10,일,4,응답,정사이즈,화면과 비슷,보통,,적당함,,,,3.0,,,3.0,,0.0,0.0,0.0,0.0,,,그냥 편하게 입기 좋은데 살짝 편한듯 갑갑함이 조금 있는듯,그냥편하게입기좋은데살짝편한듯갑갑함이조금있는듯,0,0,0,0,0,False,32,24,32,True
﻿2724700,84374885,style,눈물나는개구리,쿠폰써서 저렴하게 구매했는데 정말 좋네요 다양한 룩에 활용할수있을것 같습니다,5.0,False,[NO기모]LARGE,165.0,75.0,남성,2026-05-12 09:42:45,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 두께감: 적당함,True,0,travel,아우터,LARGE,[NO기모],2026,5,12,화,5,응답,정사이즈,화면과 비슷,보통,,적당함,,,,3.0,,,3.0,,0.0,0.0,0.0,0.0,,,쿠폰써서 저렴하게 구매했는데 정말 좋네요 다양한 룩에 활용할수있을것 같습니다,쿠폰써서저렴하게구매했는데정말좋네요다양한룩에활용할수있을것같습니다,0,0,0,0,0,False,42,34,42,True
﻿4280526,84509883,general,개념있는청색샌들,옷이 가볍고 잘 늘어나서 편하게 입고 나가기 좋네요,5.0,False,MEDIUM,170.0,60.0,남성,2026-05-16 19:37:50,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 매우 좋음 / 두께감: 적당함,False,0,travel,아우터,MEDIUM,,2026,5,16,토,5,응답,정사이즈,화면과 비슷,매우 좋음,,적당함,,,,5.0,,,3.0,,0.0,0.0,0.0,0.0,,,옷이 가볍고 잘 늘어나서 편하게 입고 나가기 좋네요,옷이가볍고잘늘어나서편하게입고나가기좋네요,0,0,0,0,0,False,28,21,28,True
4280526,84361012,general,상쾌한베이징펑키,"사이즈는 조금 큰 편이고, 색감은 약간 어둡고 이쁩니다 좋아요 ㅎㅎ",5.0,False,MEDIUM,179.0,63.0,남성,2026-05-14 16:52:23,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 두께감: 적당함,True,0,travel,아우터,MEDIUM,,2026,5,14,목,5,응답,정사이즈,화면과 비슷,보통,,적당함,,,,3.0,,,3.0,,0.0,0.0,0.0,0.0,,,"사이즈는 조금 큰 편이고, 색감은 약간 어둡고 이쁩니다 좋아요 ㅎㅎ",사이즈는조금큰편이고색감은약간어둡고이쁩니다좋아요,2,0,0,0,0,False,37,25,37,True
4280526,84360977,style,상쾌한베이징펑키,색감이 되게 이쁘고 싼 느낌이 아예 없습니다. 막 입기에도 좋아요. 추천,5.0,False,MEDIUM,179.0,63.0,남성,2026-05-11 18:01:31,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 좋음 / 두께감: 적당함,True,0,travel,아우터,MEDIUM,,2026,5,11,월,5,응답,정사이즈,화면과 비슷,좋음,,적당함,,,,4.0,,,3.0,,0.0,0.0,0.0,0.0,,,색감이 되게 이쁘고 싼 느낌이 아예 없습니다. 막 입기에도 좋아요. 추천,색감이되게이쁘고싼느낌이아예없습니다막입기에도좋아요추천,0,0,0,0,0,False,40,28,40,True
﻿4694112,84354127,general,행운을부르는톢이,초여름에 입기 괜찮고 그리고 핑크가 넘예뻐요!!!!!!!!!재질 너무 얇지도 두껍지도 않고 봄가을에 입기 조을거같아용,5.0,False,SMALL,166.0,54.0,여성,2026-05-11 13:00:27,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 두께감: 적당함,False,0,travel,아우터,SMALL,,2026,5,11,월,5,응답,정사이즈,화면과 비슷,보통,,적당함,,,,3.0,,,3.0,,0.0,0.0,0.0,0.0,,,초여름에 입기 괜찮고 그리고 핑크가 넘예뻐요!!!재질 너무 얇지도 두껍지도 않고 봄가을에 입기 조을거같아용,초여름에입기괜찮고그리고핑크가넘예뻐요재질너무얇지도두껍지도않고봄가을에입기조을거같아용,0,0,9,0,0,True,65,44,59,True
﻿4720611,84484380,general,아직설치중,오버핏을 좋아해서 L로 살걸그랬나 싶긴하지만 제품 팔이 긴 편이라 그냥 입기로 함. 예쁩니다.,4.0,False,MEDIUM,168.0,62.0,남성,2026-05-15 21:27:04,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 매우 좋음 / 두께감: 적당함,True,0,travel,아우터,MEDIUM,,2026,5,15,금,4,응답,정사이즈,화면과 비슷,매우 좋음,,적당함,,,,5.0,,,3.0,,0.0,0.0,0.0,0.0,,,오버핏을 좋아해서 L로 살걸그랬나 싶긴하지만 제품 팔이 긴 편이라 그냥 입기로 함. 예쁩니다.,오버핏을좋아해서l로살걸그랬나싶긴하지만제품팔이긴편이라그냥입기로함예쁩니다,0,0,0,0,0,False,52,37,52,True
4720611,84454260,general,아ㅓㅓ,밑단이 생각보다 조이긴 하는데 재질도 괜찮고 이쁩니다,5.0,False,SMALL,165.0,50.0,남성,2026-05-14 20:03:11,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 매우 좋음 / 두께감: 적당함,False,0,travel,아우터,SMALL,,2026,5,14,목,5,응답,정사이즈,화면과 비슷,매우 좋음,,적당함,,,,5.0,,,3.0,,0.0,0.0,0.0,0.0,,,밑단이 생각보다 조이긴 하는데 재질도 괜찮고 이쁩니다,밑단이생각보다조이긴하는데재질도괜찮고이쁩니다,0,0,0,0,0,False,29,23,29,True
