goodsNo,리뷰번호,리뷰타입,작성자,리뷰내용,평점,체험단,구매옵션,키,몸무게,성별,작성일,만족도,사진유무,도움돼요,브랜드,카테고리,구매사이즈,구매상세,연도,월,일,요일,평점_raw,만족도_응답여부,사이즈,화면대비색감,퀄리티,구김,두께감,신축성,색감,퀄리티_점수,신축성_점수,두께감_점수,구김_점수,사이즈_편차,사이즈_편차절대,화면대비색감_편차,화면대비색감_편차절대,색감_편차,색감_편차절대,리뷰내용_clean,리뷰내용_norm,laugh_count,cry_count,exclamation_count,question_count,emoji_count,has_repetition,text_length_orig,한글_글자수,전체_글자수,is_valid_for_topic,작성자_norm,옵션키,세션,long_gap_review,그룹크기,action,dup_flag,is_base,kept_id
﻿1733274,84537135,style,새우쉬림프,시보리짱짱.. 기모폭닥 너무 좋아요!  남여공용 입으면 애매한 핏 나올까 걱정했는데 이쁘네요,5.0,False,백오트밀 · M,166.0,55.0,여성,2026-05-17 19:35:31,사이즈: 조금 큼 / 화면 대비 색감: 화면과 비슷 / 두께감: 두꺼움 / 퀄리티: 좋음,True,0,jemut,상의,M,백오트밀,2026,5,17,일,5,응답,조금 큼,화면과 비슷,좋음,,두꺼움,,,4.0,,4.0,,1.0,1.0,0.0,0.0,,,시보리짱짱.. 기모폭닥 너무 좋아요! 남여공용 입으면 애매한 핏 나올까 걱정했는데 이쁘네요,시보리짱짱기모폭닥너무좋아요남여공용입으면애매한핏나올까걱정했는데이쁘네요,0,0,1,0,0,False,51,37,50,True,새우쉬림프,"('M', '백오트밀')",0,False,1,keep,unique,True,84537135
3791891,84538694,general,솔직한스페인러그,원단이 탄탄해서 안 흐물거려서 좋고 시원해서 좋음,5.0,False,M,170.0,88.0,남성,2026-05-17 20:30:46,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 매우 좋음 / 구김: 약간 있음,True,0,filluminate,상의,M,,2026,5,17,일,5,응답,정사이즈,화면과 비슷,매우 좋음,약간 있음,,,,5.0,,,3.0,0.0,0.0,0.0,0.0,,,원단이 탄탄해서 안 흐물거려서 좋고 시원해서 좋음,원단이탄탄해서안흐물거려서좋고시원해서좋음,0,0,0,0,0,False,27,21,27,True,솔직한스페인러그,"('M', None)",0,False,1,keep,unique,True,84538694
6140944,84544138,style,로제후루룩,사이즈랑 색감이원했던 느낌이라 정말 맘에들어요!,5.0,False,CHARCOAL · M,171.0,72.0,남성,2026-05-17 23:00:46,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 두께감: 적당함 / 신축성: 적당함,True,0,filluminate,상의,M,CHARCOAL,2026,5,17,일,5,응답,정사이즈,화면과 비슷,,,적당함,적당함,,,3.0,3.0,,0.0,0.0,0.0,0.0,,,사이즈랑 색감이원했던 느낌이라 정말 맘에들어요!,사이즈랑색감이원했던느낌이라정말맘에들어요,0,0,1,0,0,False,26,21,26,True,로제후루룩,"('M', 'CHARCOAL')",0,False,2,keep,multi_option_dup,True,84544138
5249171,84544415,style,jooa_ng,옷 탄탄하고 봄가을 선선할 때 입기 좋을거 같아요,5.0,False,S,169.0,70.0,남성,2026-05-19 13:48:47,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 두께감: 적당함 / 신축성: 적당함,True,0,filluminate,상의,S,,2026,5,19,화,5,응답,정사이즈,화면과 비슷,,,적당함,적당함,,,3.0,3.0,,0.0,0.0,0.0,0.0,,,옷 탄탄하고 봄가을 선선할 때 입기 좋을거 같아요,옷탄탄하고봄가을선선할때입기좋을거같아요,0,0,0,0,0,False,27,20,27,True,jooa_ng,"('S', None)",0,False,1,keep,unique,True,84544415
5911789,84545301,general,Hyun63,색상은 아이보리 섞인 베이지가 아니고 노란끼 도는 황토색입니다. 화면이랑은 다른데 이런 색도 필요해서 저는 괜찮았구요. 신축성은 없으나 와이드하게 통이 커요. 이 정도로 큰 줄 몰랐는데 허리는 배 나온 사람들은 좀 쪼입니다… 열심히 더 빼고 입을게요,4.0,False,BEIGE · S,171.0,66.0,남성,2026-05-17 23:36:48,사이즈: 정사이즈 / 화면 대비 색감: 어두움 / 퀄리티: 좋음 / 신축성: 적당함,True,0,filluminate,하의,S,BEIGE,2026,5,17,일,4,응답,정사이즈,어두움,좋음,,,적당함,,4.0,3.0,,,0.0,0.0,-1.0,1.0,,,색상은 아이보리 섞인 베이지가 아니고 노란끼 도는 황토색입니다. 화면이랑은 다른데 이런 색도 필요해서 저는 괜찮았구요. 신축성은 없으나 와이드하게 통이 커요. 이 정도로 큰 줄 몰랐는데 허리는 배 나온 사람들은 좀 쪼입니다… 열심히 더 빼고 입을게요,색상은아이보리섞인베이지가아니고노란끼도는황토색입니다화면이랑은다른데이런색도필요해서저는괜찮았구요신축성은없으나와이드하게통이커요이정도로큰줄몰랐는데허리는배나온사람들은좀쪼입니다열심히더빼고입을게요,0,0,0,0,0,False,139,101,139,True,Hyun63,"('S', 'BEIGE')",0,False,2,keep,multi_option_unique,True,84545301
5911789,84545373,general,Hyun63,노란끼 도는 크림색입니다. 조명이랑 자연광에서 비교하면 색감이 또 다르게 보이긴 하더라구요. 신축성은 없으나 와이드하게 통이 커요. 이 정도로 큰 줄 몰랐는데 허리는 배 나온 사람들은 좀 쪼이니까 참고하세요,4.0,False,CREAM · S,171.0,66.0,남성,2026-05-17 23:38:39,사이즈: 정사이즈 / 화면 대비 색감: 어두움 / 퀄리티: 좋음 / 신축성: 적당함,True,0,filluminate,하의,S,CREAM,2026,5,17,일,4,응답,정사이즈,어두움,좋음,,,적당함,,4.0,3.0,,,0.0,0.0,-1.0,1.0,,,노란끼 도는 크림색입니다. 조명이랑 자연광에서 비교하면 색감이 또 다르게 보이긴 하더라구요. 신축성은 없으나 와이드하게 통이 커요. 이 정도로 큰 줄 몰랐는데 허리는 배 나온 사람들은 좀 쪼이니까 참고하세요,노란끼도는크림색입니다조명이랑자연광에서비교하면색감이또다르게보이긴하더라구요신축성은없으나와이드하게통이커요이정도로큰줄몰랐는데허리는배나온사람들은좀쪼이니까참고하세요,0,0,0,0,0,False,115,85,115,True,Hyun63,"('S', 'CREAM')",0,False,2,keep,multi_option_unique,True,84545373
4728678,84546930,style,닉네임뭘로하까,운동할때나 선선할때 입기 좋은거같아요!! 핏도 마음에들구요!!,5.0,False,M,170.0,64.0,남성,2026-05-18 00:32:54,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 두께감: 적당함,True,14,filluminate,아우터,M,,2026,5,18,월,5,응답,정사이즈,화면과 비슷,보통,,적당함,,,3.0,,3.0,,0.0,0.0,0.0,0.0,,,운동할때나 선선할때 입기 좋은거같아요!! 핏도 마음에들구요!!,운동할때나선선할때입기좋은거같아요핏도마음에들구요,0,0,4,0,0,False,34,25,34,True,닉네임뭘로하까,"('M', None)",0,False,1,keep,unique,True,84546930
6140944,84547857,general,정혜인이에요,합리적인 가격에 아주 좋은 품질이라 정말 매우 만족합니다,5.0,False,CHARCOAL · M,162.0,50.0,여성,2026-05-18 01:22:07,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 두께감: 적당함 / 신축성: 적당함,False,0,filluminate,상의,M,CHARCOAL,2026,5,18,월,5,응답,정사이즈,화면과 비슷,,,적당함,적당함,,,3.0,3.0,,0.0,0.0,0.0,0.0,,,합리적인 가격에 아주 좋은 품질이라 정말 매우 만족합니다,합리적인가격에아주좋은품질이라정말매우만족합니다,0,0,0,0,0,False,31,24,31,True,정혜인이에요,"('M', 'CHARCOAL')",0,False,1,keep,unique,True,84547857
3791891,84547859,general,이지이이이이이,기본으로 걸치기 좋아요 아무 옷에나 입어도 이쁘고 편해서 손이많이갑니다 여친한테 뺐겼습니다 감사합니다,5.0,False,XL,188.0,100.0,남성,2026-05-18 01:22:14,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 좋음 / 구김: 약간 있음,False,0,filluminate,상의,XL,,2026,5,18,월,5,응답,정사이즈,화면과 비슷,좋음,약간 있음,,,,4.0,,,3.0,0.0,0.0,0.0,0.0,,,기본으로 걸치기 좋아요 아무 옷에나 입어도 이쁘고 편해서 손이많이갑니다 여친한테 뺐겼습니다 감사합니다,기본으로걸치기좋아요아무옷에나입어도이쁘고편해서손이많이갑니다여친한테뺐겼습니다감사합니다,0,0,0,0,0,False,56,45,56,True,이지이이이이이,"('XL', None)",0,False,1,keep,unique,True,84547859
4969807,84548174,general,싹싹한베이징골지,여름에도 아주 시원할 거 같습니다 자주 입을거 같아요,5.0,False,INDIGO · M,167.0,63.0,남성,2026-05-18 01:46:17,사이즈: 조금 큼 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 신축성: 강함,False,0,filluminate,하의,M,INDIGO,2026,5,18,월,5,응답,조금 큼,화면과 비슷,보통,,,강함,,3.0,4.0,,,1.0,1.0,0.0,0.0,,,여름에도 아주 시원할 거 같습니다 자주 입을거 같아요,여름에도아주시원할거같습니다자주입을거같아요,0,0,0,0,0,False,29,22,29,True,싹싹한베이징골지,"('M', 'INDIGO')",0,False,1,keep,unique,True,84548174
