goodsNo,리뷰번호,리뷰타입,작성자,리뷰내용,평점,체험단,구매옵션,키,몸무게,성별,작성일,만족도,사진유무,도움돼요,브랜드,카테고리,구매사이즈,구매상세,연도,월,일,요일,평점_raw,만족도_응답여부,사이즈,화면대비색감,퀄리티,구김,두께감,신축성,보온성,퀄리티_점수,보온성_점수,신축성_점수,두께감_점수,구김_점수,사이즈_편차,사이즈_편차절대,화면대비색감_편차,화면대비색감_편차절대,리뷰내용_clean,리뷰내용_norm,laugh_count,cry_count,exclamation_count,question_count,emoji_count,has_repetition,text_length_orig,한글_글자수,전체_글자수,is_valid_for_topic,작성자_norm,옵션키,세션,long_gap_review,그룹크기,action,dup_flag,is_base,kept_id
3048838,84748180,general,뎈케어,유명하길래 샀어요 통이 커서 편한데 재질이 좀 유연하진 않아서 고무줄 묶는게 좀 불편하네요 좀 도톰한 편이라 한여름에는 땀차지 않을까 싶음,5.0,False,SMALL,165.0,52.0,여성,2026-05-26 16:01:34,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 신축성: 적당함,True,0,travel,하의,SMALL,,2026,5,26,화,5,응답,정사이즈,화면과 비슷,보통,,,적당함,,3.0,,3.0,,,0.0,0.0,0.0,0.0,유명하길래 샀어요 통이 커서 편한데 재질이 좀 유연하진 않아서 고무줄 묶는게 좀 불편하네요 좀 도톰한 편이라 한여름에는 땀차지 않을까 싶음,유명하길래샀어요통이커서편한데재질이좀유연하진않아서고무줄묶는게좀불편하네요좀도톰한편이라한여름에는땀차지않을까싶음,0,0,0,0,0,False,77,58,77,True,뎈케어,"('SMALL', None)",0,False,2.0,drop,multi_type_dup,False,84748184
6391691,84751969,style,좋아요서촌반바지,옷 색감이 마음에 드네요. 소매를 롤업하니 안쪽 색깔 때문에 포인트가 되어 예뻐요. 기장이 짧아 다리가 길어 보이는 것도 장점이에요.,5.0,False,INDIGO · [Crop ver.] L,178.0,73.0,남성,2026-05-26 19:25:28,사이즈: 조금 큼 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 좋음 / 구김: 거의 없음,True,1,filluminate,상의,L,INDIGO [Crop ver.],2026,5,26,화,5,응답,조금 큼,화면과 비슷,좋음,거의 없음,,,,4.0,,,,4.0,1.0,1.0,0.0,0.0,옷 색감이 마음에 드네요. 소매를 롤업하니 안쪽 색깔 때문에 포인트가 되어 예뻐요. 기장이 짧아 다리가 길어 보이는 것도 장점이에요.,옷색감이마음에드네요소매를롤업하니안쪽색깔때문에포인트가되어예뻐요기장이짧아다리가길어보이는것도장점이에요,0,0,0,0,0,False,74,53,74,True,좋아요서촌반바지,"('L', 'INDIGO [Crop ver.]')",0,False,2.0,drop,multi_type_dup,False,84751998
6205180,84755114,style,younghyun,여름에 편하게 입기 좋은 것 같아요 추천합니당당,5.0,False,S,178.0,60.0,남성,2026-05-26 21:44:52,사이즈: 매우 작음 / 화면 대비 색감: 화면과 비슷 / 두께감: 적당함 / 신축성: 적당함,True,0,travel,상의,S,,2026,5,26,화,5,응답,매우 작음,화면과 비슷,,,적당함,적당함,,,,3.0,3.0,,-2.0,2.0,0.0,0.0,여름에 편하게 입기 좋은 것 같아요 추천합니당당,여름에편하게입기좋은것같아요추천합니당당,0,0,0,0,0,False,26,20,26,True,younghyun,"('S', None)",0,False,2.0,drop,multi_type_dup,False,84755102
4987047,84763053,general,879456,옷이 두꺼워서 체형보완도 되고 크롭해서 좋습니다,5.0,False,화이트 · L,169.0,66.0,남성,2026-05-27 11:04:12,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 두께감: 적당함 / 신축성: 적당함,True,0,jemut,상의,L,화이트,2026,5,27,수,5,응답,정사이즈,화면과 비슷,,,적당함,적당함,,,,3.0,3.0,,0.0,0.0,0.0,0.0,옷이 두꺼워서 체형보완도 되고 크롭해서 좋습니다,옷이두꺼워서체형보완도되고크롭해서좋습니다,0,0,0,0,0,False,26,21,26,True,879456,"('L', '화이트')",1,True,2.0,drop,multi_type_dup,False,84763040
4987046,84777996,style,발랄한대치동모던,깔끔하니 이뻐요 너무 크롭하지 않아서 부담되지도 않구 좋습니다,5.0,False,그레이 · M,173.0,62.0,남성,2026-05-27 22:04:23,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 두께감: 적당함 / 신축성: 적당함,True,0,jemut,상의,M,그레이,2026,5,27,수,5,응답,정사이즈,화면과 비슷,,,적당함,적당함,,,,3.0,3.0,,0.0,0.0,0.0,0.0,깔끔하니 이뻐요 너무 크롭하지 않아서 부담되지도 않구 좋습니다,깔끔하니이뻐요너무크롭하지않아서부담되지도않구좋습니다,0,0,0,0,0,False,34,27,34,True,발랄한대치동모던,"('M', '그레이')",0,False,2.0,drop,multi_type_dup,False,84777969
3048828,84782354,style,강인한여의도고글,여름에 입기는 더워요.. 소재는 가격에 비해 튼튼해요,5.0,False,MEDIUM,175.0,60.0,남성,2026-05-28 00:13:07,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 신축성: 적당함,True,0,travel,하의,MEDIUM,,2026,5,28,목,5,응답,정사이즈,화면과 비슷,보통,,,적당함,,3.0,,3.0,,,0.0,0.0,0.0,0.0,여름에 입기는 더워요.. 소재는 가격에 비해 튼튼해요,여름에입기는더워요소재는가격에비해튼튼해요,0,0,0,0,0,False,29,21,29,True,강인한여의도고글,"('MEDIUM', None)",0,False,2.0,drop,multi_type_dup,False,84782345
4969807,84782631,style,두호둥,편하게 잘 입을 수 이ㅛ어요 근데 세탁을 해도 주름이 많이 져요,4.0,False,BLACK · M,163.0,56.0,여성,2026-05-28 00:25:32,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 신축성: 적당함,True,0,filluminate,하의,M,BLACK,2026,5,28,목,4,응답,정사이즈,화면과 비슷,보통,,,적당함,,3.0,,3.0,,,0.0,0.0,0.0,0.0,편하게 잘 입을 수 이ㅛ어요 근데 세탁을 해도 주름이 많이 져요,편하게잘입을수이어요근데세탁을해도주름이많이져요,0,0,0,0,0,False,35,24,35,True,두호둥,"('M', 'BLACK')",0,False,2.0,drop,multi_type_dup,False,84782643
4987047,84787211,general,현팝,배송도 빠르고 제품도 좋아요 디자인도 이쁘고 편해요,5.0,False,블랙 · 2XL,183.0,86.0,남성,2026-05-28 09:50:25,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 두께감: 적당함 / 신축성: 적당함,False,0,jemut,상의,2XL,블랙,2026,5,28,목,5,응답,정사이즈,화면과 비슷,,,적당함,적당함,,,,3.0,3.0,,0.0,0.0,0.0,0.0,배송도 빠르고 제품도 좋아요 디자인도 이쁘고 편해요,배송도빠르고제품도좋아요디자인도이쁘고편해요,0,0,0,0,0,False,28,22,28,True,현팝,"('2XL', '블랙')",0,False,3.0,drop,multi_option_dup,False,84787202
4987047,84787221,general,현팝,배송도 빠르고 제품도 좋아요 디자인도 이쁘고 편해요,5.0,False,올리브베이지 · 2XL,183.0,86.0,남성,2026-05-28 09:50:52,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 두께감: 적당함 / 신축성: 적당함,False,0,jemut,상의,2XL,올리브베이지,2026,5,28,목,5,응답,정사이즈,화면과 비슷,,,적당함,적당함,,,,3.0,3.0,,0.0,0.0,0.0,0.0,배송도 빠르고 제품도 좋아요 디자인도 이쁘고 편해요,배송도빠르고제품도좋아요디자인도이쁘고편해요,0,0,0,0,0,False,28,22,28,True,현팝,"('2XL', '올리브베이지')",0,False,3.0,drop,multi_option_dup,False,84787202
4987046,84791165,style,쪼꼬미패션냥이,크롭해서 좋고 무지 기본템으로 좋을 것 같아요!! 한 여름에는 좀 더울 것 같지만 전까지 자주 입을 것 같습니다!,5.0,False,그레이 · M,166.0,67.0,남성,2026-05-28 13:38:12,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 두께감: 적당함 / 신축성: 적당함,True,0,jemut,상의,M,그레이,2026,5,28,목,5,응답,정사이즈,화면과 비슷,,,적당함,적당함,,,,3.0,3.0,,0.0,0.0,0.0,0.0,크롭해서 좋고 무지 기본템으로 좋을 것 같아요!! 한 여름에는 좀 더울 것 같지만 전까지 자주 입을 것 같습니다!,크롭해서좋고무지기본템으로좋을것같아요한여름에는좀더울것같지만전까지자주입을것같습니다,0,0,3,0,0,False,63,43,63,True,쪼꼬미패션냥이,"('M', '그레이')",0,False,2.0,drop,multi_type_dup,False,84791161
